CNPJ;RegistroANS;RazaoSocial;Modalidade;UF;Trimestre;Ano;ValorDespesas
20946877000187;325465;AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;Medicina de Grupo;MG;Q2;2025;17130834.56
00846662000187;379280;LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;Medicina de Grupo;SP;Q1;2025;50080008.11
01559455000104;328294;UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS;Cooperativa Médica;SP;Q3;2025;77193648.87
02064028000118;331104;UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA;Cooperativa odontológica;SP;Q2;2025;1400434.54
00636975000100;319180;SÃO DOMINGOS SAÚDE- ASSISTÊNCIA MÉDICA  LTDA;Medicina de Grupo;SP;Q3;2025;42979858.61
40853020000120;323268;UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;PE;Q3;2025;286915922.52
01402285000150;300730;DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;Odontologia de Grupo;PB;Q3;2025;2633813.12
57214900000159;324159;UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q1;2025;16410418
21575709000195;342807;SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA;Filantropia;MG;Q1;2025;38513434.5
42940528000190;304344;UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.;Cooperativa Médica;MG;Q2;2025;44313719.46
03613857000175;410624;CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA;Medicina de Grupo;MG;Q3;2025;7185229.14
29754208000188;424048;VALE PLANOS DE SAÚDE LTDA;Medicina de Grupo;PE;Q3;2025;4489517.21
77781706000162;349712;UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO;Cooperativa Médica;PR;Q2;2025;164057710.16
03268622000193;406805;COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.;Medicina de Grupo;RS;Q2;2025;10833601.19
48721401000167;334154;UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO;Cooperativa Médica;SP;Q3;2025;63428134.28
40187311000126;422681;GOCARE PLANOS DE SAUDE LTDA;Medicina de Grupo;SP;Q3;2025;58963369.22
00461479000163;302147;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;Medicina de Grupo;SP;Q3;2025;4430731709.41
73565319000138;409634;ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;Medicina de Grupo;PR;Q3;2025;6639891.78
06145428000109;415081;PORTO DIAS SAUDE LTDA.;Medicina de Grupo;PA;Q1;2025;601730.21
14674151000130;419079;BIORAL SISTEMA ODONTOLÓGICO LTDA.;Odontologia de Grupo;SP;Q1;2025;14426.14
83506030000100;318299;BENEFICENCIA CAMILIANA DO SUL;Filantropia;SP;Q1;2025;57502692.66
02322043000119;306762;UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q1;2025;41616243.03
29174910000172;421731;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;Medicina de Grupo;SP;Q3;2025;61167461.29
13026081000140;418129;FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO;Autogestão;MS;Q1;2025;1425485.53
