RegistroANS;Trimestre;Ano;ValorDespesas
325465;Q2;2025;17130834.56
379280;Q1;2025;50080008.11
328294;Q3;2025;77193648.87
331104;Q2;2025;1400434.54
319180;Q3;2025;42979858.61
323268;Q3;2025;286915922.52
300730;Q3;2025;2633813.12
324159;Q1;2025;16410418
342807;Q1;2025;38513434.5
304344;Q2;2025;44313719.46
410624;Q3;2025;7185229.14
424048;Q3;2025;4489517.21
349712;Q2;2025;164057710.16
406805;Q2;2025;10833601.19
334154;Q3;2025;63428134.28
422681;Q3;2025;58963369.22
302147;Q3;2025;4430731709.41
409634;Q3;2025;6639891.78
415081;Q1;2025;601730.21
419079;Q1;2025;14426.14
318299;Q1;2025;57502692.66
306762;Q1;2025;41616243.03
421731;Q3;2025;61167461.29
418129;Q1;2025;1425485.53
417131;Q2;2025;1155083.28
301949;Q2;2025;344095054.38
350346;Q1;2025;5481426.31
315729;Q3;2025;478871009.48
378216;Q2;2025;30097355.72
316997;Q1;2025;1532924.66
382639;Q1;2025;456873.43
319121;Q1;2025;132203582.69
301574;Q3;2025;180542958.56
314251;Q1;2025;17771323.75
330809;Q3;2025;71684442.83
361011;Q1;2025;145107614.28
422304;Q3;2025;5068751.25
304123;Q2;2025;25249570.81
316458;Q3;2025;20991720.15
325031;Q1;2025;19511623.74
418919;Q3;2025;37545480.27
407534;Q2;2025;1223637.54
407224;Q3;2025;3867936.43
417491;Q1;2025;821312.65
311375;Q2;2025;102361428.76
413721;Q2;2025;15386735.25
335614;Q3;2025;1213177893.18
409413;Q3;2025;10347010.62
322571;Q1;2025;28454734.58
358053;Q1;2025;13069639.11
344800;Q1;2025;76860965.34
422835;Q2;2025;7638837.46
367397;Q3;2025;242362198.57
333808;Q1;2025;14199446.3
419281;Q3;2025;1253390.84
346209;Q2;2025;58813712.55
422479;Q1;2025;20145.68
313475;Q3;2025;10732633.78
421154;Q2;2025;22148368.96
422631;Q3;2025;33191605.67
314587;Q1;2025;10402720.36
414573;Q1;2025;18484477.18
324361;Q3;2025;189679416.3
323942;Q2;2025;19083372.52
347736;Q3;2025;27744924.06
311146;Q3;2025;47025844.27
335479;Q2;2025;202880823.22
420271;Q3;2025;13415598.62
419591;Q2;2025;2672342.51
336858;Q2;2025;45085886.25
369659;Q2;2025;254957127.42
385255;Q1;2025;37360059.48
322326;Q2;2025;5236122.23
417548;Q2;2025;86880823.2
364592;Q1;2025;14621056.39
418170;Q1;2025;91948117.85
323357;Q2;2025;33196526.71
421006;Q1;2025;16124343.55
354279;Q1;2025;20298131.02
318566;Q3;2025;107467350.44
347825;Q2;2025;5200972.67
393321;Q2;2025;43905275.41
353027;Q1;2025;16469547.46
422941;Q2;2025;2840
309222;Q1;2025;502737234.24
309524;Q1;2025;7272764.04
411582;Q2;2025;28266018.84
350494;Q2;2025;41954394.23
408263;Q2;2025;5071724.85
351407;Q3;2025;92030028.16
406813;Q1;2025;929200.72
314668;Q1;2025;45234832.87
352519;Q1;2025;4075805.09
343153;Q3;2025;9013214.17
337374;Q1;2025;63187066.26
334243;Q2;2025;3482190.35
306754;Q2;2025;21864090.64
318213;Q2;2025;20612125.09
343684;Q2;2025;26844963.25
422720;Q2;2025;133992296.94
346276;Q3;2025;216698386.76
312720;Q2;2025;315536094.14
345709;Q1;2025;29741042.65
305227;Q1;2025;22751546.13
355151;Q1;2025;82005527.72
327352;Q2;2025;13753417.87
418617;Q3;2025;31718909.87
363855;Q2;2025;45247506.51
344184;Q1;2025;886413.49
418994;Q3;2025;478543.31
314366;Q1;2025;806568.16
301728;Q2;2025;28734422.17
307319;Q3;2025;208621206.54
362832;Q1;2025;7639796.37
358339;Q1;2025;1541897.63
342203;Q3;2025;14226198.53
423351;Q1;2025;5128852.61
363189;Q2;2025;5027404.53
