RazaoSocial;UF;TotalDespesas;MediaPorTrimestre;DesvioPadrao;QuantidadeTrimestres
BRADESCO SAÚDE S.A.;RJ;47154607705.88;15718202568.63;8330278647.06;3
SUL AMERICA COMPANHIA DE SEGURO SAÚDE;RJ;39400096932.27;13133365644.09;6844536901.64;3
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;SP;32679167175.29;10893055725.10;5600243908.08;3
HAPVIDA ASSISTENCIA MEDICA S.A.;CE;15317813951.59;5105937983.86;2766845198.89;3
NOTRE DAME INTERMÉDICA SAÚDE S.A.;SP;15174546027.17;5058182009.06;2718799412.69;3
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;DF;11592185644.74;3864061881.58;2055830940.99;3
UNIMED NACIONAL - COOPERATIVA CENTRAL;SP;9723820892.60;3241273630.87;1637885137.33;3
PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;SP;8759734071.93;2919911357.31;1508009194.99;3
PORTO SEGURO - SEGURO SAÚDE S/A;SP;8739538873.78;2913179624.59;1607535785.84;3
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;MG;8351300542.32;2783766847.44;1477064378.25;3
UNIMED SEGUROS SAÚDE S/A;SP;7733427563.31;2577809187.77;1386174791.19;3
GEAP AUTOGESTÃO EM SAÚDE;DF;7213534469.92;2404511489.97;1210286326.27;3
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;RJ;7195172896.06;2398390965.35;1214169446.86;3
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.;RS;5452448100.02;1817482700.01;977799711.29;3
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;PR;4783277070.20;1594425690.07;858027610.84;3
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;SP;4669129311.11;1556376437.04;825696939.33;3
UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;CE;3922236159.97;1307412053.32;683339704.23;3
UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO;GO;3730177870.69;1243392623.56;634459845.79;3
OMINT SERVIÇOS DE SAÚDE S.A.;SP;3596892721.03;1198964240.34;652051682.86;3
CARE PLUS MEDICINA ASSISTENCIAL LTDA.;SP;3444809686.72;1148269895.57;623504943.73;3
FUNDAÇÃO SAÚDE ITAÚ;MG;3314246863.81;1104748954.60;586062118.56;3
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;RJ;3105875545.99;1035291848.66;544115610.46;3
SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS;GO;2997666902.48;1498833451.24;426637650.69;2
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;ES;2842271289.05;947423763.02;501871648.84;3
FUNDAÇÃO CESP;SP;2353434477.99;784478159.33;420599968.49;3
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;ES;2298759034.62;766253011.54;433197658.64;3
OPERADORA NÃO ENCONTRADA;N/A;2291004724.15;152733648.28;316315570.06;15
UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO;PA;2271116291.76;757038763.92;381355872.63;3
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO;PE;2162262522.53;720754174.18;375954749.74;3
FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;DF;2021549421.69;673849807.23;336445381.73;3
UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO;MT;1974863720.15;658287906.72;336462846.19;3
UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO;SP;1904881373.92;634960457.97;340174330.18;3
UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;SP;1876610842.27;625536947.42;306818226.48;3
UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO;SC;1808827235.93;602942411.98;326211597.76;3
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO;SP;1733576377.37;577858792.46;313760194.24;3
UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO;RN;1702843962.65;567614654.22;294859505.14;3
UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO;SP;1680716854.37;560238951.46;300027631.52;3
UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA;RS;1530280180.26;510093393.42;275769698.52;3
UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO;PB;1524615238.63;508205079.54;265338623.66;3
UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO;AL;1524030798.89;508010266.30;256767381.00;3
UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO;PR;1522446041.46;507482013.82;261944359.05;3
HUMANA SAÚDE NORDESTE LTDA.;PI;1504664834.17;501554944.72;260900211.09;3
UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA;RJ;1396213529.40;465404509.80;241677080.52;3
NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A.;CE;1384493286.79;461497762.26;242301309.93;3
CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL;MS;1359866685.69;453288895.23;230811603.86;3
SANTA HELENA ASSISTÊNCIA MÉDICA S/A.;SP;1315150207.02;438383402.34;228431422.77;3
UNIMED DE SANTOS COOP DE TRAB MEDICO;SP;1284508812.28;428169604.09;227003214.67;3
UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO;MS;1272485846.05;424161948.68;219232363.79;3
UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO;SP;1204249637.55;401416545.85;212007854.73;3
CENTRO TRASMONTANO DE SAO PAULO;SP;1199114247.73;399704749.24;208904344.15;3
UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;PR;1177434966.35;392478322.12;207399538.61;3
SAMP ESPIRITO SANTO ASSISTENCIA MEDICA SA;ES;1142063741.29;380687913.76;200070328.25;3
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;CE;1094087166.55;364695722.18;196572714.00;3
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;SC;1061860967.91;353953655.97;190881841.43;3
ODONTOPREV S/A;SP;1058171543.86;352723847.95;192304677.55;3
UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA;MG;1058019416.71;352673138.90;174890120.69;3
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;SP;1027858141.54;342619380.51;173415390.07;3
FUNDAÇÃO SÃO FRANCISCO XAVIER;MG;1005548503.03;335182834.34;180006589.67;3
UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;PR;974680709.61;324893569.87;173381134.96;3
UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO;SP;970574962.49;323524987.50;168818264.69;3
UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS;SP;942754820.98;314251606.99;164021410.42;3
UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD.;SC;905624733.92;301874911.31;161612188.60;3
UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO;SC;879991826.36;293330608.79;154008352.07;3
UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.;RS;869193980.36;289731326.79;155032910.39;3
UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA;MG;865255821.59;288418607.20;158974823.58;3
UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO;PI;848645312.60;282881770.87;149922130.38;3
CEMIG SAÚDE;MG;844712588.66;281570862.89;141323032.98;3
SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL;DF;838598655.26;279532885.09;136185857.57;3
UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO;SE;818437626.93;272812542.31;132527263.54;3
UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;797095334.96;265698444.99;138853619.87;3
UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO;SP;774971342.09;258323780.70;137452483.51;3
UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA;SC;769673576.30;256557858.77;139229869.21;3
UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO;SP;765559934.97;255186644.99;131695444.73;3
